Age group,Symptomatic Illnesses (Estimate),Symptomatic Illnesses (95% UI†),Medical Visits (Estimate),Medical Visits (95% UI†),Hospitalizations (Estimate),Hospitalizations (95% UI†),Deaths (Estimate),Deaths (95% UI†),Year
0-4 yrs,888797,"(639,781, 2,068,292)",595494,"(418,934, 1,396,442)",6196,"(4,460, 14,419)",0**,"(0, 0)",2020-2021
5-17 yrs,2747644,"(1,863,847, 7,506,086)",1428775,"(950,242, 3,915,446)",7534,"(5,110, 20,581)",0**,"(0, 0)",2020-2021
18-49 yrs,3638671,"(2,679,223, 6,626,511)",1346308,"(953,342, 2,473,946)",20424,"(15,039, 37,195)",99,"(0, 296)",2020-2021
50-64 yrs,1454227,"(1,083,633, 2,723,723)",625318,"(448,909, 1,166,184)",15422,"(11,492, 28,884)",684,"(325, 1,278)",2020-2021
65+ yrs,568547,"(390,393, 1,424,462)",318386,"(213,617, 803,369)",51686,"(35,490, 129,497)",3818,"(3,097, 20,162)",2020-2021
All ages,9297886,"(7,683,440, 15,541,059)",4314281,"(3,543,819, 7,379,095)",101262,"(82,653, 185,191)",4601,"(3,769, 20,814)",2020-2021
0-4 yrs,947030,"(755,712, 1,246,667)",634510,"(498,475, 847,571)",6602,"(5,268, 8,691)",—,—,2011-2012
5-17 yrs,1995934,"(1,485,293, 3,030,988)",1037886,"(765,690, 1,598,621)",5473,"(4,073, 8,311)",—,—,2011-2012
18-49 yrs,3478066,"(2,741,852, 5,221,713)",1286885,"(979,803, 1,988,874)",19522,"(15,390, 29,310)",744,"(237, 2,729)",2011-2012
50-64 yrs,1928610,"(1,554,791, 2,983,510)",829302,"(642,931, 1,314,131)",20452,"(16,488, 31,639)",2328,"(1,392, 6,289)",2011-2012
65+ yrs,965981,"(835,332, 1,395,560)",540949,"(451,860, 807,903)",87816,"(75,939, 126,869)",9374,"(6,889, 18,288)",2011-2012
All ages,9315621,"(8,673,817, 12,044,892)",4329532,"(4,007,254, 5,565,438)",139866,"(130,814, 186,997)",12447,"(10,559, 23,491)",2011-2012
0-4 yrs,3406699,"(2,446,895, 6,046,755)",2282488,"(1,612,958, 4,078,132)",23750,"(17,059, 42,155)",110,"(0, 259)",2017-2018
5-17 yrs,7161306,"(5,425,000, 10,701,228)",3723879,"(2,749,532, 5,612,266)",19636,"(14,875, 29,342)",416,"(176, 725)",2017-2018
18-49 yrs,13685819,"(9,832,533, 22,940,352)",5063753,"(3,512,704, 8,647,997)",76819,"(55,190, 128,764)",2255,"(1,591, 3,144)",2017-2018
50-64 yrs,11655295,"(9,127,626, 16,446,006)",5011777,"(3,755,825, 7,233,345)",123601,"(96,796, 174,405)",5863,"(4,525, 7,786)",2017-2018
65+ yrs,5134430,"(3,528,755, 9,330,900)",2875281,"(1,937,742, 5,351,888)",466766,"(320,796, 848,264)",43002,"(28,086, 86,672)",2017-2018
All ages,41043550,"(35,534,886, 53,321,508)",18957179,"(16,254,883, 24,561,524)",710572,"(563,907, 1,102,721)",51646,"(36,739, 95,466)",2017-2018
